layer,stat_dim,cold_uar,cold_recall_pos,cold_recall_neg,label_gain,speaker_top1,speaker_nmi,speaker_gain,subtractive_honesty_lam1
0,4096,0.6078561786170859,0.2578740157480315,0.9578383414861402,0.10785617861708585,0.07248489897937929,0.4651926150421231,0.06772299421747453,0.04013318439961132
1,4096,0.5945310622859773,0.234251968503937,0.9548101560680177,0.0945310622859773,0.0760258279525099,0.4670893890398143,0.07126392319060514,0.02326713909537216
2,4096,0.6033549396472191,0.2637795275590551,0.9429303517353832,0.10335493964721909,0.07248489897937929,0.47809026705571367,0.06772299421747453,0.03563194542974456
3,4096,0.5882532175616413,0.23031496062992127,0.9461914744933613,0.08825321756164128,0.09560508227452615,0.48139636646446293,0.09084317751262139,-0.002589959950980103
4,4096,0.5814159563911954,0.21850393700787402,0.9443279757745167,0.08141595639119537,0.07456779837533847,0.4755507842606991,0.06980589361343371,0.011610062777761651
5,4096,0.5991439552760307,0.25,0.9482879105520615,0.0991439552760307,0.07061028952301604,0.4640017251314082,0.06584838476111128,0.03329557051491942
6,4096,0.6089979384128347,0.265748031496063,0.9522478453296064,0.10899793841283467,0.08664861487190169,0.46124361343340176,0.08188671010999693,0.027111228302837742
7,4096,0.6038437412304594,0.2559055118110236,0.9517819706498952,0.10384374123045936,0.08394084565715476,0.44642420083946693,0.07917894089525,0.02466480033520936
8,4096,0.5869949890959647,0.22244094488188976,0.9515490333100396,0.0869949890959647,0.08164965632159966,0.4423729231275246,0.0768877515596949,0.010107237536269797
9,4096,0.5798837514283461,0.2047244094488189,0.9550430934078733,0.07988375142834614,0.07581753801291398,0.4336811984422038,0.07105563325100922,0.008828118177336919
10,4096,0.5764946965486757,0.20866141732283464,0.9443279757745167,0.07649469654867569,0.0689439700062487,0.4242693957654753,0.06418206524434394,0.012312631304331745
11,4096,0.5708335855292721,0.19291338582677164,0.9487537852317727,0.0708335855292721,0.07061028952301604,0.4167077604240863,0.06584838476111128,0.004985200768160822
12,4096,0.5735944432522455,0.2047244094488189,0.942464477055672,0.07359444325224551,0.06352843157675485,0.4068164552132059,0.05876652681485009,0.014827916437395422
13,4096,0.5641013295769894,0.18503937007874016,0.9431632890752387,0.06410132957698944,0.057488023328473234,0.4029874727245898,0.052726118566568475,0.011375211010420966
14,4096,0.5615504822903427,0.18110236220472442,0.9419986023759609,0.061550482290342656,0.058529473026452825,0.40066584063402316,0.053767568264548066,0.007782914025794591
15,4096,0.5599313843631181,0.17716535433070865,0.9426974143955276,0.05993138436311807,0.05957092272443241,0.40020984355290223,0.05480901796252764,0.005122366400590425
16,4096,0.5647886781447917,0.1889763779527559,0.9406009783368274,0.06478867814479172,0.054155384294938554,0.3941191581767379,0.04939347953303379,0.015395198611757935
17,4096,0.5649461859720365,0.19488188976377951,0.9350104821802935,0.0649461859720365,0.052280774838575295,0.39169418344543316,0.047518870076670536,0.01742731589536596
18,4096,0.5644278086832437,0.19291338582677164,0.9359422315397158,0.06442780868324371,0.04957300562382837,0.39086980184257314,0.04481110086192361,0.019616707821320106
19,4096,0.562966218583264,0.19488188976377951,0.9310505474027486,0.06296621858326401,0.048531555925848784,0.38129292625357075,0.04376965116394402,0.019196567419319993
20,4096,0.5581728908624368,0.18110236220472442,0.9352434195201491,0.05817289086243682,0.04624036659029369,0.382877518242249,0.04147846182838892,0.0166944290340479
21,4096,0.5609452120371746,0.1889763779527559,0.9329140461215933,0.06094521203717462,0.04978129556342429,0.3947987687182994,0.045019390801519524,0.0159258212356551
22,4096,0.5707762682704495,0.2125984251968504,0.9289541113440485,0.07077626827044947,0.04311601749635493,0.3931615658976129,0.03835411273445016,0.03242215553599931
23,4096,0.5569852772596298,0.1889763779527559,0.9249941765665036,0.05698527725962976,0.04290772755675901,0.3983708269299781,0.03814582279485425,0.018839454464775515
24,4096,0.5646673948251227,0.2106299212598425,0.918704868390403,0.06466739482512274,0.0416579879191835,0.40238157491049037,0.03689608315727874,0.027771311667843995
